minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
13-1000,13-1040,Business and Financial Occupations,Compliance officers,FALSE,FALSE,FALSE,TRUE,33.77,31.99,70250,66540,288300,287200,1000,0,1,0,0,0,0,0,-1,80,0,0,0,0,0,0,0,50,0,30,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Compliance officers
13-1000,13-1110,Business and Financial Occupations,Management analysts,FALSE,FALSE,FALSE,TRUE,44.19,39.1,91910,81330,806400,666100,140200,6,0,3,0,0,0,0,3,720,0,0,0,0,50,20,0,70,0,50,0,0,130,100,20,0,460,0,0,0,FALSE,TRUE,TRUE,,Management analysts
13-2000,13-2010,Business and Financial Occupations,Accountants and auditors,FALSE,FALSE,FALSE,TRUE,36.89,32.76,76730,68150,1397700,1304000,93700,7,0,0,0,0,0,0,7,460,0,0,0,0,30,20,0,250,20,210,20,0,50,40,0,0,120,0,40,0,FALSE,TRUE,TRUE,,Accountants and auditors
13-2000,13-2050,Business and Financial Occupations,Financial analysts and advisors,FALSE,FALSE,FALSE,TRUE,49.54,38.91,103050,80940,672000,599600,72500,5,0,0,0,0,0,0,5,160,0,0,0,0,20,20,0,100,0,80,0,0,0,0,0,0,30,0,20,0,FALSE,TRUE,TRUE,,Financial analysts and advisors
15-1000,15-1120,Computer and Mathematical Occupations,Computer and information analysts,FALSE,FALSE,FALSE,TRUE,44.36,42.29,92260,87960,700500,687000,13500,4,1,0,0,0,0,0,3,140,0,0,0,0,0,0,0,100,0,90,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Computer and information analysts
15-1000,15-1130,Computer and Mathematical Occupations,Software developers and programmers,FALSE,FALSE,FALSE,TRUE,48.11,46.07,100080,95830,1714000,1644600,69400,5,0,0,0,0,0,0,5,150,0,0,0,0,0,0,0,80,20,50,20,0,0,0,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Software developers and programmers
15-1000,15-1140,Computer and Mathematical Occupations,Database and systems administrators and network architects,FALSE,FALSE,FALSE,TRUE,43.15,40.85,89750,84970,673400,671100,2300,3,0,0,0,0,0,0,3,270,0,0,0,0,0,0,0,140,20,100,0,60,20,0,0,0,60,30,0,0,FALSE,TRUE,TRUE,,Database and systems administrators and network architects
15-1000,15-1150,Computer and Mathematical Occupations,Computer support specialists,FALSE,FALSE,FALSE,TRUE,27.21,25.08,56600,52160,835300,819000,16400,4,0,3,0,0,0,0,1,720,0,0,0,0,70,50,0,240,50,150,40,0,100,50,20,0,280,50,30,0,FALSE,TRUE,TRUE,,Computer support specialists
17-1000,17-1010,Architecture and Engineering Occupations,"Architects, except naval",FALSE,FALSE,FALSE,TRUE,39.39,35.98,81920,74850,153500,122600,30900,1,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,"Architects, except naval"
17-1000,17-1020,Architecture and Engineering Occupations,"Surveyors, cartographers, and photogrammetrists",FALSE,FALSE,FALSE,TRUE,30.8,28.94,64070,60200,57400,56100,1300,13,0,11,0,0,0,0,2,430,40,0,0,40,70,60,0,160,0,150,0,0,20,0,20,0,140,30,0,0,FALSE,TRUE,TRUE,,"Surveyors, cartographers, and photogrammetrists"
