minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
35-3000,35-3010,Food Preperation and Serving Occupations,Bartenders,FALSE,FALSE,FALSE,TRUE,12.3,10,25580,20800,611200,609600,1600,6,4,0,0,0,0,0,2,2300,0,0,0,0,0,0,0,740,420,260,60,70,1150,770,360,20,320,60,60,0,FALSE,TRUE,TRUE,,Bartenders
35-3000,35-3020,Food Preperation and Serving Occupations,Fast food and counter workers,FALSE,FALSE,FALSE,TRUE,9.89,9.38,20580,19500,3957500,3952800,4700,15,6,0,0,0,5,0,4,12020,290,100,60,60,170,60,0,3890,290,3050,510,1980,3620,2360,680,410,1950,780,140,110,FALSE,TRUE,TRUE,,Fast food and counter workers
35-3000,35-3030,Food Preperation and Serving Occupations,Waiters and waitresses,FALSE,FALSE,FALSE,TRUE,11.73,9.61,24410,19990,2600500,2596600,3800,11,3,0,0,0,6,0,2,6700,120,70,50,0,0,0,0,2870,180,2260,300,500,2090,1710,330,30,1070,280,100,50,FALSE,TRUE,TRUE,,Waiters and waitresses
35-3000,35-3040,Food Preperation and Serving Occupations,"Food servers, nonrestaurant",FALSE,FALSE,FALSE,TRUE,11.29,10.21,23490,21240,263800,200,263800,3,0,0,0,0,0,0,3,2340,20,0,0,0,20,0,0,850,30,590,230,240,610,440,120,20,590,220,40,0,FALSE,TRUE,TRUE,,"Food servers, nonrestaurant"
35-9000,35-9010,Food Preperation and Serving Occupations,Dining room and cafeteria attendants and bartender helpers,FALSE,FALSE,FALSE,TRUE,10.74,9.71,22340,20200,431200,430400,800,3,1,0,0,0,0,0,2,2910,30,0,20,0,0,0,0,880,60,680,120,270,1140,840,210,40,580,330,30,20,FALSE,TRUE,TRUE,,Dining room and cafeteria attendants and bartender helpers
35-9000,35-9020,Food Preperation and Serving Occupations,Dishwashers,FALSE,FALSE,FALSE,TRUE,10.22,10,21260,20800,514300,300,514300,0,0,1,0,0,0,0,-1,3910,30,0,0,20,0,0,0,800,120,560,110,520,1720,1050,430,140,840,430,0,0,FALSE,TRUE,TRUE,,Dishwashers
35-9000,35-9090,Food Preperation and Serving Occupations,Miscellaneous food preparation and serving related workers,FALSE,FALSE,FALSE,FALSE,11.16,10.14,23200,21090,60900,60800,100,1,0,0,0,1,0,0,0,2180,0,0,0,0,0,0,0,510,40,360,110,250,710,550,100,50,620,220,130,70,TRUE,TRUE,TRUE,,Miscellaneous food preparation and serving related workers
37-1000,37-1010,Building and Grounds Cleaning and Maintainance Occupations,Supervisors of building and grounds maintenance workers,FALSE,FALSE,FALSE,TRUE,21.24,19.65,44190,40880,243500,172200,71300,38,4,12,0,7,5,10,0,3040,100,30,0,70,170,150,0,940,280,560,100,40,660,360,230,50,1130,240,50,0,FALSE,TRUE,TRUE,,Supervisors of building and grounds maintenance workers
37-2000,37-2010,Building and Grounds Cleaning and Maintainance Occupations,Building cleaning workers,FALSE,FALSE,FALSE,TRUE,12.55,11.26,26090,23420,3844000,3575100,268900,64,12,9,0,21,13,8,1,38660,540,150,70,310,1050,760,30,12350,1730,8160,2110,1740,8310,4950,2290,710,14310,3930,1060,330,FALSE,TRUE,TRUE,,Building cleaning workers
37-2000,37-2020,Building and Grounds Cleaning and Maintainance Occupations,Pest control workers,FALSE,FALSE,FALSE,TRUE,16.84,15.88,35020,33040,78900,73900,5100,10,0,4,0,0,0,0,6,2080,60,0,0,60,860,830,0,480,140,210,130,60,130,70,30,0,500,170,0,0,FALSE,TRUE,TRUE,,Pest control workers
37-3000,37-3010,Building and Grounds Cleaning and Maintainance Occupations,Grounds maintenance workers,FALSE,FALSE,FALSE,TRUE,14.02,12.9,29170,26830,1197900,935800,262100,217,10,71,0,64,30,40,2,15860,550,0,0,520,670,410,0,4290,1230,2020,660,1270,5530,3800,980,430,3480,970,140,60,FALSE,TRUE,TRUE,,Grounds maintenance workers
39-1000,39-1020,Personal Care and Service Occupations,Supervisors of personal service workers,FALSE,FALSE,FALSE,TRUE,19.15,17.65,39830,36700,276100,203800,72300,1,1,0,0,0,0,0,0,400,100,50,50,0,30,30,0,50,0,40,0,0,90,30,60,0,80,20,0,40,FALSE,TRUE,TRUE,,Supervisors of personal service workers
39-2000,39-2010,Personal Care and Service Occupations,Animal trainers,FALSE,FALSE,FALSE,TRUE,16.62,13.31,34580,27690,54900,29200,25700,4,0,0,0,0,0,0,4,100,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Animal trainers
39-2000,39-2020,Personal Care and Service Occupations,Nonfarm animal caretakers,FALSE,FALSE,FALSE,TRUE,11.74,10.57,24420,21990,241500,197300,44300,8,7,1,0,0,0,0,0,2440,1220,0,0,1220,0,0,0,430,0,350,80,100,210,180,20,0,470,70,20,0,FALSE,TRUE,TRUE,,Nonfarm animal caretakers
39-3000,39-3090,Personal Care and Service Occupations,Miscellaneous entertainment attendants and related workers,FALSE,FALSE,FALSE,TRUE,10.98,9.91,22830,20610,339800,336800,3000,9,0,4,0,3,1,0,1,1440,100,20,30,50,80,40,0,560,110,380,50,50,330,210,80,30,300,40,0,0,FALSE,TRUE,TRUE,,Miscellaneous entertainment attendants and related workers
39-5000,39-5010,Personal Care and Service Occupations,"Barbers, hairdressers, hairstylists and cosmetologists",FALSE,FALSE,FALSE,TRUE,14.23,11.68,29600,24300,673700,368700,305000,10,7,0,0,0,0,0,3,2180,0,0,0,0,0,0,0,800,0,780,20,0,110,110,0,0,1170,0,430,0,FALSE,TRUE,TRUE,,"Barbers, hairdressers, hairstylists and cosmetologists"
39-7000,39-7010,Personal Care and Service Occupations,Tour and travel guides,FALSE,FALSE,FALSE,TRUE,13.78,12.2,28670,25370,45800,40400,5400,5,0,0,0,0,0,0,5,190,0,0,0,0,0,0,0,110,0,90,0,0,60,40,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Tour and travel guides
39-9000,39-9020,Personal Care and Service Occupations,Personal care aides,FALSE,FALSE,FALSE,TRUE,10.92,10.54,22710,21920,2016100,1943200,73000,4,0,0,0,0,0,0,4,12400,2870,1690,1020,150,790,750,0,2960,350,2120,330,190,970,570,270,60,4600,1120,60,0,FALSE,TRUE,TRUE,,Personal care aides
39-9000,39-9030,Personal Care and Service Occupations,Recreation and fitness workers,FALSE,FALSE,FALSE,TRUE,16.33,13.25,33970,27570,689100,629300,59800,7,0,3,0,0,3,0,1,1900,250,130,100,20,80,40,0,540,70,390,80,30,290,180,60,30,700,130,0,0,FALSE,TRUE,TRUE,,Recreation and fitness workers
39-9000,39-9040,Personal Care and Service Occupations,Residential advisors,FALSE,FALSE,FALSE,TRUE,13.31,12.29,27690,25570,118800,900,118800,3,0,0,0,0,1,0,2,680,320,230,90,0,30,20,0,190,0,160,20,0,0,0,0,0,130,30,0,0,FALSE,TRUE,TRUE,,Residential advisors
41-1000,41-1010,Sales and Related Occupations,Supervisors of sales workers,FALSE,FALSE,FALSE,TRUE,24.63,20.31,51230,42250,1532400,1183600,348800,104,70,14,0,10,7,0,3,15880,530,260,90,180,310,140,0,4120,730,2820,560,360,4300,3000,920,260,6220,3010,170,30,FALSE,TRUE,TRUE,,Supervisors of sales workers
41-2000,41-2010,Sales and Related Occupations,Cashiers,FALSE,FALSE,FALSE,TRUE,10.44,9.71,21710,20200,3578900,3557600,21300,63,60,0,0,0,1,0,2,9110,190,70,100,30,120,20,0,2780,210,2180,340,460,1920,1270,440,140,3600,1250,320,30,FALSE,TRUE,TRUE,,Cashiers
41-2000,41-2020,Sales and Related Occupations,Counter and rental clerks and parts salespersons,FALSE,FALSE,FALSE,TRUE,14.79,12.99,30750,27030,710100,705400,4700,6,0,0,0,0,2,0,4,1460,0,0,0,0,120,100,0,660,80,570,0,50,210,150,40,20,400,90,30,0,FALSE,TRUE,TRUE,,Counter and rental clerks and parts salespersons
41-2000,41-2030,Sales and Related Occupations,Retail salespersons,FALSE,FALSE,FALSE,TRUE,13.07,10.9,27180,22680,4602500,4457100,145400,33,12,10,0,7,0,0,4,23470,570,350,50,180,530,320,110,7180,1390,4830,840,1030,6290,4540,1250,330,7700,3350,220,70,FALSE,TRUE,TRUE,,Retail salespersons
41-3000,41-3030,Sales and Related Occupations,"Securities, commodities, and financial services sales agents",FALSE,FALSE,FALSE,TRUE,49.17,32.36,102260,67310,375700,357500,18200,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,"Securities, commodities, and financial services sales agents"
41-3000,41-3090,Sales and Related Occupations,"Miscellaneous sales representatives, services",FALSE,FALSE,FALSE,FALSE,30.32,25.23,63070,52490,983000,965300,17700,4,0,0,0,0,0,0,4,760,20,0,0,20,110,100,0,320,70,220,20,40,90,60,20,0,180,30,30,0,TRUE,TRUE,TRUE,,"Miscellaneous sales representatives, services"
41-4000,41-4010,Sales and Related Occupations,"Sales representatives, wholesale and manufacturing",FALSE,FALSE,FALSE,TRUE,35.12,29.1,73060,60530,343600,330500,13200,20,0,15,0,4,0,0,1,2380,20,0,0,0,470,440,0,760,110,530,120,380,220,120,50,50,540,210,20,0,FALSE,TRUE,TRUE,,"Sales representatives, wholesale and manufacturing"
41-9000,41-9020,Sales and Related Occupations,Real estate brokers and sales agents,FALSE,FALSE,FALSE,TRUE,30.57,22.32,63590,46410,444100,195500,248600,8,3,3,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Real estate brokers and sales agents
41-9000,41-9090,Sales and Related Occupations,Miscellaneous sales and related workers,FALSE,FALSE,FALSE,TRUE,20.19,17.25,42000,35880,178300,91700,86500,12,5,4,0,0,0,0,3,2330,100,70,0,30,350,280,0,1140,50,1010,70,20,380,180,70,20,330,130,0,0,FALSE,TRUE,TRUE,,Miscellaneous sales and related workers
43-1000,43-1010,Office and Administration Occupations,Supervisors of office and administrative support workers,FALSE,FALSE,FALSE,TRUE,27.83,26.12,57890,54340,1506300,1493700,12600,8,4,0,0,0,0,0,4,1530,20,0,0,0,70,60,0,490,80,340,50,110,260,180,70,0,580,100,130,0,FALSE,TRUE,TRUE,,Supervisors of office and administrative support workers
43-3000,43-3030,Office and Administration Occupations,"Bookkeeping, accounting, and auditing clerks",FALSE,FALSE,FALSE,TRUE,19.34,18.46,40220,38390,1730500,1665400,65100,1,1,0,0,0,0,0,0,1110,20,20,0,0,0,0,0,580,40,500,40,110,130,70,50,20,250,40,70,0,FALSE,TRUE,TRUE,,"Bookkeeping, accounting, and auditing clerks"
43-4000,43-4050,Office and Administration Occupations,Customer service representatives,FALSE,FALSE,FALSE,TRUE,16.91,15.53,35170,32300,2784500,2769500,14900,5,0,0,0,0,0,0,5,7100,210,80,40,80,240,160,0,2940,290,2360,270,300,970,570,230,150,2390,970,540,60,FALSE,TRUE,TRUE,,Customer service representatives
43-4000,43-4170,Office and Administration Occupations,Receptionists and information clerks,FALSE,FALSE,FALSE,TRUE,14,13.42,29120,27920,1053700,1043600,10100,3,1,0,0,0,0,0,2,2170,100,30,20,40,40,20,0,890,60,770,60,50,290,90,140,50,790,120,320,0,FALSE,TRUE,TRUE,,Receptionists and information clerks
43-4000,43-4190,Office and Administration Occupations,Miscellaneous information and record clerks,FALSE,FALSE,FALSE,FALSE,19.28,18.87,40090,39260,178100,177900,200,1,0,1,0,0,0,0,0,160,0,0,0,0,0,0,0,60,0,30,30,0,30,0,0,0,50,0,0,0,TRUE,TRUE,TRUE,,Miscellaneous information and record clerks
43-5000,43-5010,Office and Administration Occupations,Cargo and freight agents,FALSE,FALSE,FALSE,TRUE,21.27,20.15,44250,41920,89800,89600,200,1,1,0,0,0,0,0,0,5920,20,0,0,0,130,0,0,820,140,520,150,80,1310,730,260,290,3560,1800,60,0,FALSE,TRUE,TRUE,,Cargo and freight agents
43-5000,43-5020,Office and Administration Occupations,Couriers and messengers,FALSE,FALSE,FALSE,TRUE,14.39,13.54,29920,28170,95000,76000,19100,3,0,3,0,0,0,0,0,580,0,0,0,0,240,190,0,130,0,80,40,0,70,50,0,0,140,70,0,0,FALSE,TRUE,TRUE,,Couriers and messengers
43-5000,43-5030,Office and Administration Occupations,Dispatchers,FALSE,FALSE,FALSE,TRUE,19.79,18.4,41150,38260,300300,298300,2000,6,0,0,0,0,0,0,6,250,0,0,0,0,40,20,0,90,0,70,0,0,20,0,0,0,100,50,20,0,FALSE,TRUE,TRUE,,Dispatchers
43-5000,43-5040,Office and Administration Occupations,"Meter readers, utilities",FALSE,FALSE,FALSE,TRUE,20.14,18.72,41890,38940,34800,12300,34800,4,0,3,0,0,0,0,1,280,0,0,0,0,0,0,0,200,0,180,0,0,30,30,0,0,30,0,0,0,FALSE,TRUE,TRUE,,"Meter readers, utilities"
43-5000,43-5060,Office and Administration Occupations,"Production, planning, and expediting clerks",FALSE,FALSE,FALSE,TRUE,23.58,22.48,49050,46760,329400,327300,2100,1,0,0,0,0,0,0,1,460,0,0,0,0,0,0,0,70,0,60,0,40,180,100,60,20,170,50,0,0,FALSE,TRUE,TRUE,,"Production, planning, and expediting clerks"
43-5000,43-5070,Office and Administration Occupations,"Shipping, receiving, and traffic clerks",FALSE,FALSE,FALSE,TRUE,15.94,14.99,33150,31180,681400,680400,1000,3,0,1,0,0,0,0,2,4890,0,0,0,0,240,20,0,960,260,530,150,40,1560,1090,290,130,2070,860,90,0,FALSE,TRUE,TRUE,,"Shipping, receiving, and traffic clerks"
43-5000,43-5080,Office and Administration Occupations,Stock clerks and order fillers,FALSE,FALSE,FALSE,TRUE,12.82,11.46,26670,23840,2008600,2004700,4000,11,3,0,0,0,4,1,3,24550,160,60,30,70,690,110,0,4880,790,3410,580,580,7370,5080,1350,700,10760,5470,460,110,FALSE,TRUE,TRUE,,Stock clerks and order fillers
43-5000,43-5110,Office and Administration Occupations,"Weighers, measurers, checkers, and samplers, recordkeeping",FALSE,FALSE,FALSE,TRUE,14.94,13.84,31080,28790,75900,74900,1000,1,0,1,0,0,0,0,0,210,0,0,0,0,20,0,0,80,40,30,0,0,30,20,0,0,70,20,20,0,FALSE,TRUE,TRUE,,"Weighers, measurers, checkers, and samplers, recordkeeping"
43-6000,43-6010,Office and Administration Occupations,Secretaries and administrative assistants,FALSE,FALSE,FALSE,TRUE,19.39,17.9,40330,37230,685300,679400,5900,5,1,1,0,0,0,0,3,3380,60,30,30,0,120,70,0,1890,130,1560,160,110,510,400,100,0,680,190,150,0,FALSE,TRUE,TRUE,,Secretaries and administrative assistants
43-9000,43-9040,Office and Administration Occupations,Insurance claims and policy processing clerks,FALSE,FALSE,FALSE,TRUE,19.61,18.48,40780,38430,308500,305500,3000,1,0,1,0,0,0,0,0,550,0,0,0,0,30,30,0,260,40,190,30,0,70,0,40,0,160,0,100,0,FALSE,TRUE,TRUE,,Insurance claims and policy processing clerks
45-1000,45-1010,"Farming, Fishing and Forestry Occupations","Supervisors of farming, fishing, and forestry workers",FALSE,FALSE,FALSE,TRUE,23.47,21.79,48820,45320,48700,42700,6000,12,0,4,0,0,0,4,4,520,30,0,0,0,20,0,0,70,0,40,20,0,260,140,0,30,120,30,0,0,FALSE,TRUE,TRUE,,"Supervisors of farming, fishing, and forestry workers"
45-2000,45-2090,"Farming, Fishing and Forestry Occupations",Miscellaneous agricultural workers,FALSE,FALSE,FALSE,TRUE,11.95,10.83,24860,22520,847300,843000,4300,156,16,77,5,12,11,35,0,12550,1200,0,0,1190,710,130,0,3450,1070,1530,630,480,3920,1960,770,910,2660,830,130,120,FALSE,TRUE,TRUE,,Miscellaneous agricultural workers
45-4000,45-4020,"Farming, Fishing and Forestry Occupations",Logging workers,FALSE,FALSE,FALSE,TRUE,19,18.07,39510,37590,55300,41700,13600,91,0,17,1,0,0,68,5,900,0,0,0,0,0,0,0,70,30,30,0,0,750,620,60,40,70,0,0,0,FALSE,TRUE,TRUE,,Logging workers
47-1000,47-1010,Construction and Extraction Occupations,Supervisors of construction trades and extraction workers,FALSE,FALSE,FALSE,TRUE,32.71,30.28,68040,62980,602500,541200,61300,134,4,49,3,32,13,32,1,5150,40,0,0,30,260,110,0,1910,1070,480,340,50,1630,1070,150,200,1210,560,20,50,FALSE,TRUE,TRUE,,Supervisors of construction trades and extraction workers
47-2000,47-2010,Construction and Extraction Occupations,Boilermakers,FALSE,FALSE,FALSE,TRUE,29.9,29.84,62200,62060,17200,16600,600,4,0,1,1,0,0,0,2,140,0,0,0,0,0,0,0,50,40,0,0,20,40,30,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Boilermakers
47-2000,47-2020,Construction and Extraction Occupations,"Brickmasons, blockmasons, and stonemasons",FALSE,FALSE,FALSE,TRUE,24.89,22.88,51770,47590,110000,77200,32800,12,0,1,0,5,0,3,3,760,0,0,0,0,70,0,0,150,20,20,110,0,190,120,70,0,350,130,70,0,FALSE,TRUE,TRUE,,"Brickmasons, blockmasons, and stonemasons"
47-2000,47-2030,Construction and Extraction Occupations,Carpenters,FALSE,FALSE,FALSE,TRUE,23.24,20.96,48340,43600,1025600,685200,340300,99,6,8,0,66,12,6,1,13180,90,0,0,80,100,50,0,3760,2120,950,600,90,5310,4020,530,560,3810,1480,80,30,FALSE,TRUE,TRUE,,Carpenters
47-2000,47-2040,Construction and Extraction Occupations,"Carpet, floor, and tile installers and finishers",FALSE,FALSE,FALSE,TRUE,21.13,18.82,43950,39150,122300,78400,43900,8,0,3,0,0,0,0,5,860,0,0,0,0,0,0,0,160,40,20,100,0,370,230,120,20,320,60,20,0,FALSE,TRUE,TRUE,,"Carpet, floor, and tile installers and finishers"
47-2000,47-2050,Construction and Extraction Occupations,"Cement masons, concrete finishers, and terrazzo workers",FALSE,FALSE,FALSE,TRUE,21.04,18.85,43770,39210,182500,178100,4400,12,0,3,0,3,3,0,3,1010,0,0,0,0,60,60,0,160,80,50,0,30,400,380,0,20,250,100,0,100,FALSE,TRUE,TRUE,,"Cement masons, concrete finishers, and terrazzo workers"
47-2000,47-2060,Construction and Extraction Occupations,Construction laborers,FALSE,FALSE,FALSE,TRUE,18.22,16.07,37890,33430,1216700,911900,304800,254,17,52,3,89,27,64,2,22380,90,30,0,60,1060,470,20,4850,2050,1820,830,1070,9420,6150,1300,1070,5730,2100,300,150,FALSE,TRUE,TRUE,,Construction laborers
47-2000,47-2070,Construction and Extraction Occupations,Construction equipment operators,FALSE,FALSE,FALSE,TRUE,23.95,21.65,49810,45040,426600,413500,13200,46,5,24,0,0,5,12,0,1990,0,0,0,0,300,170,0,540,240,160,90,90,590,330,130,90,470,120,20,0,FALSE,TRUE,TRUE,,Construction equipment operators
47-2000,47-2080,Construction and Extraction Occupations,"Drywall installers, ceiling tile installers, and tapers",FALSE,FALSE,FALSE,TRUE,23.3,20.33,48460,42280,143200,111300,31900,6,0,0,0,5,0,0,1,1450,0,0,0,0,0,0,0,810,480,140,180,70,350,170,90,0,220,70,0,0,FALSE,TRUE,TRUE,,"Drywall installers, ceiling tile installers, and tapers"
47-2000,47-2110,Construction and Extraction Occupations,Electricians,FALSE,FALSE,FALSE,TRUE,27.24,25.35,56650,52720,666900,612800,54100,79,5,15,0,23,30,4,2,7340,0,0,0,0,290,270,0,2450,1130,920,350,400,2260,1680,340,150,1930,460,30,0,FALSE,TRUE,TRUE,,Electricians
47-2000,47-2130,Construction and Extraction Occupations,Insulation workers,FALSE,FALSE,FALSE,TRUE,21.67,18.89,45070,39280,59500,56600,2900,6,0,1,0,0,0,0,5,410,0,0,0,0,20,20,0,190,90,100,0,0,80,50,30,0,110,0,0,0,FALSE,TRUE,TRUE,,Insulation workers
47-2000,47-2140,Construction and Extraction Occupations,Painters and paperhangers,FALSE,FALSE,FALSE,TRUE,19.92,18.04,41430,37520,387300,223300,164000,52,0,10,0,29,9,0,4,3290,20,0,0,0,80,70,0,2220,1310,460,430,130,420,240,90,20,420,70,50,0,FALSE,TRUE,TRUE,,Painters and paperhangers
47-2000,47-2150,Construction and Extraction Occupations,"Pipelayers, plumbers, pipefitters, and steamfitters",FALSE,FALSE,FALSE,TRUE,26.38,24.18,54870,50300,524800,459600,65100,24,1,4,0,4,4,9,2,6300,260,0,0,30,170,150,0,1120,400,290,340,210,2620,1700,210,400,1920,430,20,0,FALSE,TRUE,TRUE,,"Pipelayers, plumbers, pipefitters, and steamfitters"
47-2000,47-2160,Construction and Extraction Occupations,Plasterers and stucco masons,FALSE,FALSE,FALSE,TRUE,21.19,18.7,44070,38890,27700,22700,5000,1,0,1,0,0,0,0,0,280,0,0,0,0,0,0,0,50,30,0,0,20,110,100,20,0,90,0,0,0,FALSE,TRUE,TRUE,,Plasterers and stucco masons
47-2000,47-2170,Construction and Extraction Occupations,Reinforcing iron and rebar workers,FALSE,FALSE,FALSE,TRUE,25.77,22.89,53600,47600,20100,18300,20100,6,0,0,0,3,0,1,2,170,0,0,0,0,0,0,0,50,20,20,0,0,110,70,0,30,0,0,0,0,FALSE,TRUE,TRUE,,Reinforcing iron and rebar workers
47-2000,47-2180,Construction and Extraction Occupations,Roofers,FALSE,FALSE,FALSE,TRUE,20.23,18.15,42080,37760,146200,115700,30600,101,0,7,0,81,12,0,1,3140,30,0,0,20,0,0,0,1340,840,350,130,290,610,470,70,70,860,210,30,0,FALSE,TRUE,TRUE,,Roofers
47-2000,47-2210,Construction and Extraction Occupations,Sheet metal workers,FALSE,FALSE,FALSE,TRUE,24.56,22.57,51080,46940,138900,136300,2600,6,1,0,0,3,0,0,2,1870,30,30,0,0,0,0,0,200,80,80,40,50,1120,440,330,330,460,90,30,0,FALSE,TRUE,TRUE,,Sheet metal workers
47-2000,47-2220,Construction and Extraction Occupations,Structural iron and steel workers,FALSE,FALSE,FALSE,TRUE,26.94,24.91,56040,51800,70200,69500,700,16,0,0,0,9,0,4,3,1420,0,0,0,0,0,0,0,330,110,170,40,0,710,230,40,80,350,70,0,0,FALSE,TRUE,TRUE,,Structural iron and steel workers
47-3000,47-3010,Construction and Extraction Occupations,"Helpers, construction trades",FALSE,FALSE,FALSE,TRUE,14.86,14.03,30900,29180,24100,23900,200,14,0,0,0,10,3,0,1,2150,40,0,0,0,80,80,0,820,750,20,40,40,680,520,110,40,490,220,40,0,FALSE,TRUE,TRUE,,"Helpers, construction trades"
47-4000,47-4010,Construction and Extraction Occupations,Construction and building inspectors,FALSE,FALSE,FALSE,TRUE,29.45,28.12,61250,58480,105100,97200,8000,9,0,5,0,3,0,0,1,40,0,0,0,0,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Construction and building inspectors
47-4000,47-4020,Construction and Extraction Occupations,Elevator installers and repairers,FALSE,FALSE,FALSE,TRUE,36.95,37.93,76860,78890,22100,20000,22100,6,0,0,0,0,0,3,3,160,0,0,0,0,30,0,0,30,0,0,0,0,50,0,20,20,50,0,0,0,FALSE,TRUE,TRUE,,Elevator installers and repairers
47-4000,47-4030,Construction and Extraction Occupations,Fence erectors,FALSE,FALSE,FALSE,TRUE,17.49,15.94,36380,33150,25100,21300,3800,4,1,0,0,0,0,1,2,170,0,0,0,0,0,0,0,60,0,0,0,0,110,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Fence erectors
47-4000,47-4040,Construction and Extraction Occupations,Hazardous materials removal workers,FALSE,FALSE,FALSE,TRUE,21.88,19.54,45500,40640,46200,44300,1900,4,0,0,0,0,0,0,4,90,0,0,0,0,0,0,0,20,20,0,0,0,20,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Hazardous materials removal workers
47-4000,47-4050,Construction and Extraction Occupations,Highway maintenance workers,FALSE,FALSE,FALSE,TRUE,19.01,18.33,39540,38130,149900,148500,1400,12,0,12,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Highway maintenance workers
47-4000,47-4060,Construction and Extraction Occupations,Rail-track laying and maintenance equipment operators,FALSE,FALSE,FALSE,TRUE,25.39,25.95,52810,53970,14000,100,14000,5,0,4,0,0,0,0,1,140,0,0,0,0,30,0,0,30,0,0,0,0,40,20,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Rail-track laying and maintenance equipment operators
47-4000,47-4070,Construction and Extraction Occupations,Septic tank servicers and sewer pipe cleaners,FALSE,FALSE,FALSE,TRUE,18.69,17.51,38870,36430,28500,26500,2000,3,0,3,0,0,0,0,0,300,0,0,0,0,70,70,0,40,40,0,0,0,130,100,20,0,50,0,0,0,FALSE,TRUE,TRUE,,Septic tank servicers and sewer pipe cleaners
53-7000,53-7070,Transportation and Material Moving Occupations,"Pump operators, except wellhead pumpers",FALSE,FALSE,FALSE,FALSE,22.24,20.42,46270,42470,11900,11800,100,4,0,0,1,0,0,0,3,80,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,40,20,0,0,TRUE,TRUE,TRUE,,"Pump operators, except wellhead pumpers"
51-4000,51-4030,Production Occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",FALSE,FALSE,FALSE,FALSE,16.45,15.56,34210,32370,192700,192600,100,5,0,0,0,0,0,5,0,2350,0,0,0,0,20,0,0,330,70,220,50,50,1080,440,170,410,860,300,100,0,TRUE,TRUE,TRUE,,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
49-2000,49-2020,"Installation, Maintainance and Repair Occupations","Radio, cellular, and tower equipment installers and repairers",FALSE,FALSE,FALSE,FALSE,25.78,25.23,53620,52480,14500,14200,300,7,0,3,0,4,0,0,0,110,0,0,0,0,50,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,"Radio, cellular, and tower equipment installers and repairers"
49-9000,49-9040,"Installation, Maintainance and Repair Occupations","Maintenance workers, machinery",FALSE,FALSE,FALSE,FALSE,22.11,21.42,46000,44550,89700,89300,300,13,2,3,0,0,0,5,3,590,0,0,0,0,0,0,0,80,20,40,0,40,240,70,40,120,230,40,0,0,TRUE,TRUE,TRUE,,"Maintenance workers, machinery"
51-4000,51-4190,Production Occupations,Miscellaneous metalworkers and plastic workers,FALSE,FALSE,FALSE,TRUE,17.83,16.7,37090,34740,96700,96400,300,11,0,0,0,3,0,3,5,5520,0,0,0,0,30,0,0,670,90,440,130,200,2890,1130,450,1100,1690,500,300,0,FALSE,TRUE,TRUE,,Miscellaneous metalworkers and plastic workers
49-9000,49-9090,"Installation, Maintainance and Repair Occupations","Helpers--installation, maintenance, and repair workers",FALSE,FALSE,FALSE,FALSE,14.12,13.23,29370,27510,120200,119900,300,10,0,0,0,0,6,0,4,910,0,0,0,0,0,0,0,240,40,180,20,90,250,190,20,30,320,120,0,0,TRUE,TRUE,TRUE,,"Helpers--installation, maintenance, and repair workers"
51-9000,51-9190,Production Occupations,Helpers--production workers,FALSE,FALSE,FALSE,FALSE,12.95,11.94,26930,24830,426000,425700,300,3,0,0,0,0,0,0,3,1580,0,0,0,0,0,0,0,290,40,140,110,50,670,330,80,200,520,180,70,0,TRUE,TRUE,TRUE,,Helpers--production workers
