outcome,violence_cases,trans_cases,fireExp_cases,fallSlipTrip_cases,exposure_cases,contact_cases,overextertion_cases,allOther_cases
Fatal,15.37397541,39.10860656,1.275614754,15.61987705,8.806352459,14.18032787,0.0,5.635245902
Non-Fatal,3.877256617,5.27660416,0.174075278,25.54598776,4.298839192,26.5219131,33.74155302,0.56377088
